site,PONTO,TIPO,wl_nm,refl_img
IPIXUNA,IPX002,SOLO,2167.4849,0.085847259
IPIXUNA,IPX002,SOLO,2175.3442,0.085069045
IPIXUNA,IPX002,SOLO,2183.4202,0.084748611
IPIXUNA,IPX002,SOLO,2191.1003,0.091218434
IPIXUNA,IPX002,SOLO,2199.1353,0.088059813
IPIXUNA,IPX002,SOLO,2206.843,0.09105058
IPIXUNA,IPX002,SOLO,2214.625,0.093598843
IPIXUNA,IPX002,SOLO,2222.4263,0.089341573
IPIXUNA,IPX002,SOLO,2230.0076,0.090638593
IPIXUNA,IPX002,SOLO,2237.9041,0.090882733
IPIXUNA,IPX002,SOLO,2245.4485,0.089890897
IPIXUNA,IPX002,SOLO,2253.1104,0.086854354
IPIXUNA,IPX002,SOLO,2260.8665,0.086625464
IPIXUNA,IPX002,SOLO,2268.2883,0.085297935
IPIXUNA,IPX002,SOLO,2276.0537,0.082413979
IPIXUNA,IPX002,SOLO,2283.4934,0.082902268
IPIXUNA,IPX002,SOLO,2290.8267,0.077576868
IPIXUNA,IPX002,SOLO,2298.6094,0.075562678
IPIXUNA,IPX002,SOLO,2305.7227,0.071381703
IPIXUNA,IPX002,SOLO,2313.2007,0.061921112
IPIXUNA,IPX002,SOLO,2320.8955,0.05899138
IPIXUNA,IPX002,SOLO,2327.8242,0.06443885
IPIXUNA,IPX002,SOLO,2335.5264,0.066132598
IPIXUNA,IPX002,SOLO,2342.8228,0.061707485
IPIXUNA,IPX002,SOLO,2349.7915,0.056733042
IPIXUNA,IPX002,SOLO,2357.2937,0.042694744
IPIXUNA,IPX002,SOLO,2364.5945,0.039902341
IPIXUNA,IPX002,SOLO,2371.5522,0.033478294
IPIXUNA,IPX002,SOLO,2378.771,0.031815059
IPIXUNA,IPX002,SOLO,2386.0618,0.031143663
IPIXUNA,IPX002,SOLO,2393.0388,0.027100023
IPIXUNA,IPX002,SOLO,2400.0359,0.030090792
IPIXUNA,IPX002,SOLO,2407.6045,0.02652018
IPIXUNA,IPX002,SOLO,2414.3567,0.025299458
IPIXUNA,IPX002,SOLO,2421.2373,0.022858014
IPIXUNA,IPX002,SOLO,2428.6677,0.027359426
IPIXUNA,IPX002,SOLO,2435.5442,0.027389944
IPIXUNA,IPX002,SOLO,2442.4031,0.023437858
IPIXUNA,IPX002,SOLO,2449.1423,0.018677043
IPIXUNA,IPX002,SOLO,2456.5857,0.020157168
IPIXUNA,IPX002,SOLO,2463.0303,0.022812238
IPIXUNA,IPX002,SOLO,2469.6272,0.019546807
IPIXUNA,IPX002,SOLO,2477.0549,0.020019837
IPIXUNA,IPX002,SOLO,2483.793,0.01699855
IPIXUNA,IPX002,SOLO,2490.2192,0.030609598
IPIXUNA,IPX002,SOLO,2497.1155,0.028412299
IPIXUNA,IPX003,SOLO,406.99341,0.024185549
IPIXUNA,IPX003,SOLO,415.83899,0.019821469
IPIXUNA,IPX003,SOLO,423.78476,0.016769664
IPIXUNA,IPX003,SOLO,431.33469,0.007431144
IPIXUNA,IPX003,SOLO,438.65689,0.015030136
IPIXUNA,IPX003,SOLO,446.01471,0.018448157
IPIXUNA,IPX003,SOLO,453.38947,0.014190891
IPIXUNA,IPX003,SOLO,460.73175,0.007507439
IPIXUNA,IPX003,SOLO,468.09842,3.50958e-4
IPIXUNA,IPX003,SOLO,475.31885,0.003326467
IPIXUNA,IPX003,SOLO,482.54816,0.00250248
IPIXUNA,IPX003,SOLO,489.79486000000003,0.003067063
IPIXUNA,IPX003,SOLO,497.05865,0.001342794
IPIXUNA,IPX003,SOLO,504.51172,0.006530861
IPIXUNA,IPX003,SOLO,512.04639,0.007202258
IPIXUNA,IPX003,SOLO,519.54376,0.013366903
IPIXUNA,IPX003,SOLO,527.3053,0.022796979
IPIXUNA,IPX003,SOLO,535.05255,0.031967651
IPIXUNA,IPX003,SOLO,542.88513,0.037445638
IPIXUNA,IPX003,SOLO,550.91461,0.039215688
IPIXUNA,IPX003,SOLO,559.02026,0.036423285
IPIXUNA,IPX003,SOLO,567.20612,0.031998169
IPIXUNA,IPX003,SOLO,575.48682,0.030365454
IPIXUNA,IPX003,SOLO,583.84412,0.027954528
IPIXUNA,IPX003,SOLO,592.33899,0.024841689
IPIXUNA,IPX003,SOLO,601.0144,0.025955597
IPIXUNA,IPX003,SOLO,609.95819,0.025909819
IPIXUNA,IPX003,SOLO,618.71997,0.025223164
IPIXUNA,IPX003,SOLO,627.77844,0.025513085
IPIXUNA,IPX003,SOLO,636.67627,0.026413366
IPIXUNA,IPX003,SOLO,645.96381,0.025619898
IPIXUNA,IPX003,SOLO,655.41876,0.022247653
IPIXUNA,IPX003,SOLO,664.8941,0.02246128
IPIXUNA,IPX003,SOLO,674.46436,0.0230869
IPIXUNA,IPX003,SOLO,684.13727,0.028488593
IPIXUNA,IPX003,SOLO,694.12836,0.049927521
IPIXUNA,IPX003,SOLO,703.737,0.072663464
IPIXUNA,IPX003,SOLO,713.72687,0.117998019
IPIXUNA,IPX003,SOLO,723.87994,0.175524533
IPIXUNA,IPX003,SOLO,733.9552,0.228656441
IPIXUNA,IPX003,SOLO,744.14954,0.285999835
IPIXUNA,IPX003,SOLO,754.4696,0.327931643
